County,"May
2025"
Allegany County,4.6
Anne Arundel County,2.8
Baltimore City,4.3
Baltimore County,3.3
Calvert County,2.8
Caroline County,3
Carroll County,2.5
Cecil County,3.3
Charles County,3.5
Dorchester County,3.4
Frederick County,2.8
Garrett County,3.3
Harford County,2.9
Howard County,2.9
Kent County,3.2
Montgomery County,3.2
Prince George's County,3.8
Queen Anne's County,2.5
Somerset County,3.8
St. Mary's County,2.8
Talbot County,3
Washington County,3.6
Wicomico County,3.4
Worcester County,3.3